CaseNumber,FirstName,LastName,DOB,Address,ProgramType
C10035,Aubrey,Martinez,1992-04-20,"345 Live Oak Ct, Phoenix, AZ",Unemployment Assistance
C10036,Hunter,Robinson,1989-11-08,"678 Mesquite Rd, Tucson, AZ",SNAP
C10037,Addison,Lewis,1986-06-23,"234 Palo Verde St, Las Vegas, NV",Housing Assistance
C10038,Caleb,Lee,1993-01-11,"567 Joshua Tree Blvd, Reno, NV",Child Care Subsidy
C10039,Samantha,Walker,1990-09-27,"890 Creosote Ave, Los Angeles, CA",Medicaid
C10040,Ian,Hall,1985-05-14,"123 Eucalyptus Ln, San Diego, CA",Unemployment Assistance
C10041,Leah,Allen,1988-02-01,"456 Redwood Dr, San Francisco, CA",SNAP
C10042,Xavier,Young,1994-10-17,"789 Sequoia St, Sacramento, CA",Housing Assistance
C10043,Victoria,Hernandez,1987-07-04,"345 Manzanita Way, Fresno, CA",Child Care Subsidy
C10044,Blake,King,1991-12-21,"678 Madrone Ct, San Jose, CA",Medicaid
C10045,Penelope,Wright,1983-08-08,"234 Toyon Ave, Oakland, CA",Unemployment Assistance
C10046,Dominic,Lopez,1989-04-25,"567 Ceanothus Blvd, Long Beach, CA",SNAP
C10047,Stella,Hill,1986-11-12,"890 Manzanita Rd, Anaheim, CA",Housing Assistance
C10048,Jaxon,Scott,1992-06-29,"123 Chamise St, Santa Ana, CA",Child Care Subsidy
C10049,Maya,Green,1988-01-16,"456 Buckbrush Ln, Riverside, CA",Medicaid
C10050,Bryson,Adams,1985-09-03,"789 Sagebrush Dr, Stockton, CA",Unemployment Assistance
C10051,Elena,Baker,1993-05-20,"345 Rabbitbrush Ave, Bakersfield, CA",SNAP
C10052,Easton,Gonzalez,1990-12-07,"678 Brittlebush Ct, Modesto, CA",Housing Assistance
C10053,Paisley,Nelson,1987-08-24,"234 Desert Willow St, Oxnard, CA",Child Care Subsidy
C10054,Grayson,Carter,1984-03-11,"567 Prickly Pear Blvd, Fontana, CA",Medicaid
C10055,Skylar,Mitchell,1991-10-28,"890 Barrel Cactus Rd, Moreno Valley, CA",Unemployment Assistance
C10056,Bentley,Perez,1988-06-15,"123 Ocotillo Way, Huntington Beach, CA",SNAP
C10057,Lydia,Roberts,1986-01-02,"456 Cholla Ave, Glendale, CA",Housing Assistance
C10058,Kaiden,Turner,1994-07-19,"789 Brittlebush Ln, Santa Clarita, CA",Child Care Subsidy
C10059,Delilah,Phillips,1989-04-06,"345 Desert Lupine Dr, Oceanside, CA",Medicaid
C10060,Archer,Campbell,1985-11-23,"678 Ghost Plant Ct, Garden Grove, CA",Unemployment Assistance
C10061,Ruby,Parker,1992-08-10,"234 Desert Marigold St, Santa Rosa, CA",SNAP
C10062,Brayden,Evans,1987-02-27,"567 Fairy Duster Blvd, Rancho Cucamonga, CA",Housing Assistance
C10063,Iris,Edwards,1990-09-14,"890 Desert Broom Ave, Ontario, CA",Child Care Subsidy
C10064,Maddox,Collins,1986-05-01,"123 Brittlebush Rd, Corona, CA",Medicaid
C10065,Willow,Stewart,1993-12-18,"456 Desert Sage Way, Elk Grove, CA",Unemployment Assistance
C10066,Ryder,Sanchez,1989-07-05,"789 Smoke Tree St, Salem, OR",SNAP
C10067,Nova,Morris,1984-03-22,"345 Oregon Grape Ln, Eugene, OR",Housing Assistance
C10068,Knox,Rogers,1991-10-09,"678 Manzanita Dr, Gresham, OR",Child Care Subsidy
C10069,Autumn,Reed,1988-06-26,"234 Salal Ave, Hillsboro, OR",Medicaid
C10070,Phoenix,Cook,1985-12-13,"567 Kinnikinnick Blvd, Bend, OR",Unemployment Assistance
